"","bNTI.ted2RC95pct","S.rar362","Habitat"
"91",0.375,55.8333333333333,"Rhizosphere"
"92",0,54.5,"Rhizosphere"
"93",0,58.1666666666667,"Rhizosphere"
"94",0.642857142857143,39.1666666666667,"Root"
"95",0,33.8333333333333,"Root"
"96",0,32.5,"Root"
"97",0.375,88,"Soil"
"98",0.642857142857143,91.5,"Soil"
"99",0.642857142857143,84.3333333333333,"Soil"
"100",0,24.6666666666667,"Leaf"
"101",0,24.5,"Leaf"
"102",0,30.8333333333333,"Leaf"
"103",0,61.1666666666667,"Rhizosphere"
"104",0,54.5,"Rhizosphere"
"105",0,56.8333333333333,"Rhizosphere"
"106",0.375,41,"Root"
"107",0,33.1666666666667,"Root"
"108",0,32.8333333333333,"Root"
"109",0.782608695652174,93.5,"Soil"
"110",0,89,"Soil"
"111",0.545454545454545,93.8333333333333,"Soil"
"112",0,24.8333333333333,"Leaf"
"113",0,23.6666666666667,"Leaf"
"114",0,27.8333333333333,"Leaf"
"115",0.375,46.6666666666667,"Rhizosphere"
"116",0.75,52.6666666666667,"Rhizosphere"
"117",0,59.3333333333333,"Rhizosphere"
"118",0.642857142857143,42.1666666666667,"Root"
"119",0,26.3333333333333,"Root"
"120",0,35.6666666666667,"Root"
"121",0,80.3333333333333,"Soil"
"122",0,87.8333333333333,"Soil"
"123",0,88,"Soil"
"124",0,24.1666666666667,"Leaf"
"125",0,19.3333333333333,"Leaf"
"126",0,24.5,"Leaf"
"127",0,55.6666666666667,"Rhizosphere"
"128",0.375,54,"Rhizosphere"
"129",0.375,57.3333333333333,"Rhizosphere"
"130",0.545454545454545,43,"Root"
"131",0,31,"Root"
"132",0.375,41.8333333333333,"Root"
"133",0,81.3333333333333,"Soil"
"134",0.375,90.5,"Soil"
"135",0,82.8333333333333,"Soil"
"136",0,26.1666666666667,"Leaf"
"137",0,20.3333333333333,"Leaf"
"138",0,24.1666666666667,"Leaf"
"139",0.545454545454545,51.1666666666667,"Rhizosphere"
"140",0.375,51.5,"Rhizosphere"
"141",0,56.5,"Rhizosphere"
"142",0.545454545454545,43,"Root"
"143",0,26.3333333333333,"Root"
"144",0,39.8333333333333,"Root"
"145",0.642857142857143,84,"Soil"
"146",0.782608695652174,92.3333333333333,"Soil"
"147",0,89,"Soil"
"148",0,25.3333333333333,"Leaf"
"149",0,18.8333333333333,"Leaf"
"150",0,23.5,"Leaf"
"151",0.705882352941177,61,"Rhizosphere"
"152",0.545454545454545,64.1666666666667,"Rhizosphere"
"153",0.375,60.3333333333333,"Rhizosphere"
"154",0.375,41.1666666666667,"Root"
"155",0,30.1666666666667,"Root"
"156",0.375,41,"Root"
"157",0.705882352941177,89.5,"Soil"
"158",0,95.1666666666667,"Soil"
"159",0.545454545454545,91.1666666666667,"Soil"
"160",0,21.6666666666667,"Leaf"
"161",0,18.8333333333333,"Leaf"
"162",0,21.6666666666667,"Leaf"
"163",0,46.5,"Rhizosphere"
"164",0.375,50.3333333333333,"Rhizosphere"
"165",0.545454545454545,57.1666666666667,"Rhizosphere"
"166",0.705882352941177,46.1666666666667,"Root"
"167",0,29.3333333333333,"Root"
"168",0.545454545454545,43.5,"Root"
"169",0.375,75.1666666666667,"Soil"
"170",0.375,75.3333333333333,"Soil"
"171",0,77.3333333333333,"Soil"
