"","qPCR","Fungi.pct","Habitat"
"535",4.450198701,43.8568298,"Leaf"
"536",2.597621007,38.94679931,"Leaf"
"537",5.025017008,79.89964204,"Leaf"
"538",4.504137299,93.2095607,"Leaf"
"539",5.602022969,77.98000189,"Leaf"
"540",3.893064501,68.5783711,"Leaf"
"550",5.917953513,97.45524384,"Root"
"551",6.056099073,98.93824485,"Root"
"552",6.66048735,99.46021807,"Root"
"553",6.461477645,96.40254275,"Root"
"554",6.211476128,97.83726236,"Root"
"555",6.518248725,95.5182573,"Root"
"556",6.420471157,97.43740378,"Root"
"557",6.434613113,97.29295291,"Root"
"558",6.725571864,95.47560707,"Root"
"559",6.877639258,97.10266349,"Root"
"560",6.628873792,97.95327858,"Root"
"561",6.087298464,91.23580997,"Root"
"562",6.520283331,97.78747651,"Root"
"563",6.418190387,97.51658016,"Root"
"564",6.597047687,99.62211452,"Root"
"565",6.653439603,98.37314052,"Root"
"566",6.576779634,99.29763844,"Root"
"567",6.593909701,96.79013852,"Root"
"606",3.291165964,80.13528828,"Leaf"
"607",5.282374459,86.18354749,"Leaf"
"608",4.547428808,85.82854156,"Leaf"
"609",4.506818342,82.15695782,"Leaf"
"610",5.579355551,98.17866162,"Leaf"
"611",6.340413767,96.85984604,"Leaf"
"612",5.195553374,72.28806385,"Leaf"
"613",5.527345003,82.90450769,"Leaf"
"614",6.201749501,81.74483904,"Leaf"
"615",5.440107029,88.02282184,"Leaf"
"616",5.269896964,72.02461065,"Leaf"
"617",5.258697043,84.18990766,"Leaf"
"618",5.420543212,97.78843331,"Leaf"
"619",5.639911879,98.75509766,"Leaf"
"620",5.65660245,92.83971105,"Leaf"
"621",5.889183838,95.20393568,"Leaf"
"623",5.948496611,99.82803095,"Root"
"624",6.243126324,99.93655296,"Root"
"625",6.154711843,99.97833211,"Root"
"626",6.286034501,99.95873147,"Root"
"629",6.742287376,99.98605057,"Root"
"630",6.293441433,99.9840948,"Root"
"631",6.589413783,99.93704753,"Root"
"632",6.347234867,94.65502836,"Root"
"633",5.253658867,99.95111049,"Root"
"634",5.141783462,99.98368679,"Root"
"635",5.792592989,99.96274912,"Root"
"636",3.696487591,98.06440163,"Root"
"637",4.876363161,97.581263,"Root"
"638",6.386260659,99.96669046,"Root"
"639",6.341572323,99.96504108,"Root"
"676",6.355035098,99.13083847,"Leaf"
"677",6.040266195,96.53661856,"Leaf"
"678",6.203786373,95.59096686,"Leaf"
"679",5.669096381,94.99250948,"Leaf"
"680",5.448635835,88.66245166,"Leaf"
"681",5.049268488,89.01295692,"Leaf"
"682",5.630283291,97.92907567,"Leaf"
"683",4.972565454,96.34108163,"Leaf"
"684",5.191665538,97.6570935,"Leaf"
"685",5.076522743,97.35356693,"Leaf"
"686",5.751733709,91.77650107,"Leaf"
"687",6.150699411,95.51783228,"Leaf"
"688",5.382244565,92.61073421,"Leaf"
"689",6.092131329,95.05036569,"Leaf"
"690",5.928620298,97.04204252,"Leaf"
"691",6.161488739,98.55584209,"Leaf"
"692",5.910305125,95.45690201,"Leaf"
"693",6.019775472,95.81501888,"Leaf"
"694",5.923144467,87.46701847,"Root"
"695",5.814204416,85.96979034,"Root"
"696",5.950368716,94.64493597,"Root"
"697",5.858408174,88.80510441,"Root"
"698",5.899986136,92.95435799,"Root"
"699",6.418303651,98.00395909,"Root"
"700",6.641016716,97.9137866,"Root"
"701",6.110906552,97.58217955,"Root"
"702",5.672228236,95.27860153,"Root"
"703",5.6997924,95.07858546,"Root"
"704",5.99436281,93.86052719,"Root"
"705",5.888258645,96.10357173,"Root"
"706",5.809612033,95.74795871,"Root"
"707",6.327703726,99.0668348,"Root"
"708",6.421983407,96.19057839,"Root"
"709",6.027803279,90.25734217,"Root"
"710",5.626208734,89.12776413,"Root"
"711",5.69479133,85.31671725,"Root"
"748",3.256858931,98.41785663,"Leaf"
"749",5.037631174,97.06875323,"Leaf"
"751",6.094877118,97.3809147,"Leaf"
"752",5.615480908,95.91836735,"Leaf"
"753",3.516231993,91.17588776,"Leaf"
"754",6.185312024,98.36787428,"Leaf"
"755",6.224912393,98.40424655,"Leaf"
"756",5.896461396,94.69462374,"Leaf"
"757",5.747371936,96.33856005,"Leaf"
"758",5.907475871,95.0491405,"Leaf"
"759",6.220951721,94.89616576,"Leaf"
"760",6.062064936,95.98036076,"Leaf"
"761",4.024624785,96.59612697,"Leaf"
"762",6.628896897,96.88971251,"Leaf"
"763",5.820758752,98.8473694,"Leaf"
"764",6.056681593,96.96119294,"Leaf"
"765",5.296181117,95.16385722,"Leaf"
"767",5.915481229,93.21625131,"Root"
"768",5.92447624,93.0413756,"Root"
"777",5.301075679,99.56399645,"Root"
"778",6.028034,97.51798799,"Root"
"779",6.915653647,98.6376856,"Root"
"782",5.766409079,91.58665503,"Root"
"783",5.951190604,94.92940033,"Root"
"820",6.244432419,95.52206257,"Leaf"
"821",6.470013302,93.83733563,"Leaf"
"822",6.37646146,93.5331825,"Leaf"
"823",6.026911072,92.92358348,"Leaf"
"824",5.998004687,92.63828415,"Leaf"
"825",5.408815856,82.95599675,"Leaf"
"826",4.036059391,97.22995697,"Leaf"
"827",5.766193753,96.23548842,"Leaf"
"828",3.814541332,93.49961946,"Leaf"
"829",5.659101544,94.87036001,"Leaf"
"830",4.478942523,95.01303009,"Leaf"
"832",6.341022863,95.29409662,"Leaf"
"833",6.183212602,90.33964886,"Leaf"
"834",6.014535774,96.76078482,"Leaf"
"835",6.08428865,97.1650109,"Leaf"
"836",5.862472368,91.38099714,"Leaf"
"837",6.22293436,96.65193297,"Leaf"
"838",5.374603,88.59711212,"Root"
"839",5.699352271,93.38928252,"Root"
"840",5.983195931,86.88277151,"Root"
"841",6.098689774,88.98526047,"Root"
"842",6.988680442,97.98751514,"Root"
"843",6.572646176,97.50875193,"Root"
"844",5.820793687,91.65545087,"Root"
"846",5.639681292,92.03609539,"Root"
"847",5.474169774,98.49534273,"Root"
"849",5.722070685,96.09862016,"Root"
"850",5.758369405,87.8938912,"Root"
"851",6.976675643,99.18599393,"Root"
"852",6.462368713,99.97340779,"Root"
"853",5.996661863,99.98216706,"Root"
"854",5.89444906,99.99285638,"Root"
"892",5.125740892,95.92201347,"Leaf"
"893",5.73372394,95.48334906,"Leaf"
"894",3.802883122,98.04354686,"Leaf"
"895",6.444395351,96.08023356,"Leaf"
"896",5.173889936,94.74758621,"Leaf"
"897",5.3405023,87.12488298,"Leaf"
"898",5.999350278,94.63528597,"Leaf"
"899",6.301303377,96.04813549,"Leaf"
"900",5.875751613,95.03394528,"Leaf"
"901",5.44761855,94.85276051,"Leaf"
"902",5.931966066,96.7698109,"Leaf"
"903",6.028753947,96.56987993,"Leaf"
"904",5.115827468,95.01013821,"Leaf"
"905",5.738912958,92.77949087,"Leaf"
"906",6.061103992,96.75760369,"Leaf"
"907",6.242003715,95.01533223,"Leaf"
"908",5.610072598,91.20284597,"Leaf"
"909",5.850399317,94.13963238,"Leaf"
"910",5.356296664,99.92325992,"Root"
"912",6.003234795,99.96263312,"Root"
"920",5.45395449,99.79032123,"Root"
"922",5.868936047,99.98540146,"Root"
"923",6.568908247,100,"Root"
"926",5.569171443,99.99364999,"Root"
"927",5.646940677,99.98166819,"Root"
"964",6.263692725,95.21606119,"Leaf"
"965",6.27026827,96.88651204,"Leaf"
"966",6.352510311,94.59855799,"Leaf"
"967",6.528191005,92.36975565,"Leaf"
"968",6.425236301,98.04283198,"Leaf"
"969",5.35753226,87.60532342,"Leaf"
"970",6.328545481,97.82235376,"Leaf"
"971",6.005295111,98.47721592,"Leaf"
"972",5.946905915,92.23234185,"Leaf"
"973",6.24903535,98.07654588,"Leaf"
"974",5.825876342,95.461513,"Leaf"
"975",6.510570702,97.44375523,"Leaf"
"976",6.281700124,98.03271282,"Leaf"
"977",6.210009162,97.50446325,"Leaf"
"978",6.514773705,96.61684579,"Leaf"
"979",6.825348714,98.77844868,"Leaf"
"980",5.774833845,93.92259491,"Leaf"
"981",6.144273284,96.97372374,"Leaf"
"982",5.998432556,100,"Root"
