"","Fungi","Relative_Abundance","Sampletime","Direction","Distance"
"164","OTU8_Gloeoporus",0,"TP1011","C",1
"165","OTU8_Gloeoporus",0,"TP0913","A",2
"166","OTU8_Gloeoporus",0,"TP1011","A",2
"167","OTU8_Gloeoporus",0,"TP0913","B",2
"168","OTU8_Gloeoporus",0,"TP1011","B",2
"169","OTU8_Gloeoporus",0,"TP0913","C",2
"170","OTU8_Gloeoporus",0,"TP1011","C",2
"171","OTU8_Gloeoporus",0,"TP0913","A",4
"172","OTU8_Gloeoporus",0,"TP1011","A",4
"173","OTU8_Gloeoporus",0,"TP0913","B",4
"174","OTU8_Gloeoporus",0,"TP1011","B",4
"175","OTU8_Gloeoporus",0,"TP0913","C",4
"176","OTU8_Gloeoporus",0,"TP1011","C",4
"177","OTU8_Gloeoporus",0,"TP0913","A",8
"178","OTU8_Gloeoporus",0,"TP1011","A",8
"179","OTU8_Gloeoporus",0,"TP0913","B",8
"180","OTU8_Gloeoporus",0,"TP1011","B",8
"181","OTU8_Gloeoporus",0,"TP0913","C",8
"182","OTU8_Gloeoporus",0,"TP1011","C",8
"183","OTU20_Monosporascus",2,"TP0913","P",0
"184","OTU20_Monosporascus",3,"TP1011","P",0
"185","OTU20_Monosporascus",3,"TP0913","A",1
"186","OTU20_Monosporascus",7,"TP1011","A",1
"187","OTU20_Monosporascus",1,"TP0913","B",1
"188","OTU20_Monosporascus",19,"TP1011","B",1
"189","OTU20_Monosporascus",9,"TP0913","C",1
"190","OTU20_Monosporascus",1,"TP1011","C",1
"191","OTU20_Monosporascus",1,"TP0913","A",2
"192","OTU20_Monosporascus",11,"TP1011","A",2
"193","OTU20_Monosporascus",2,"TP0913","B",2
"194","OTU20_Monosporascus",4,"TP1011","B",2
"195","OTU20_Monosporascus",0,"TP0913","C",2
"196","OTU20_Monosporascus",0,"TP1011","C",2
"197","OTU20_Monosporascus",10,"TP0913","A",4
"198","OTU20_Monosporascus",3,"TP1011","A",4
"199","OTU20_Monosporascus",52,"TP0913","B",4
"200","OTU20_Monosporascus",10,"TP1011","B",4
"201","OTU20_Monosporascus",2,"TP0913","C",4
"202","OTU20_Monosporascus",5,"TP1011","C",4
"203","OTU20_Monosporascus",9,"TP0913","A",8
"204","OTU20_Monosporascus",0,"TP1011","A",8
"205","OTU20_Monosporascus",9,"TP0913","B",8
"206","OTU20_Monosporascus",20,"TP1011","B",8
"207","OTU20_Monosporascus",0,"TP0913","C",8
"208","OTU20_Monosporascus",0,"TP1011","C",8
"209","OTU10_Filobasidium",53,"TP0913","P",0
"210","OTU10_Filobasidium",32,"TP1011","P",0
"211","OTU10_Filobasidium",154,"TP0913","A",1
"212","OTU10_Filobasidium",149,"TP1011","A",1
"213","OTU10_Filobasidium",58,"TP0913","B",1
"214","OTU10_Filobasidium",232,"TP1011","B",1
"215","OTU10_Filobasidium",162,"TP0913","C",1
"216","OTU10_Filobasidium",96,"TP1011","C",1
"217","OTU10_Filobasidium",56,"TP0913","A",2
"218","OTU10_Filobasidium",207,"TP1011","A",2
"219","OTU10_Filobasidium",62,"TP0913","B",2
"220","OTU10_Filobasidium",151,"TP1011","B",2
"221","OTU10_Filobasidium",62,"TP0913","C",2
"222","OTU10_Filobasidium",488,"TP1011","C",2
"223","OTU10_Filobasidium",38,"TP0913","A",4
"224","OTU10_Filobasidium",78,"TP1011","A",4
"225","OTU10_Filobasidium",142,"TP0913","B",4
"226","OTU10_Filobasidium",91,"TP1011","B",4
"227","OTU10_Filobasidium",196,"TP0913","C",4
"228","OTU10_Filobasidium",184,"TP1011","C",4
"229","OTU10_Filobasidium",229,"TP0913","A",8
"230","OTU10_Filobasidium",51,"TP1011","A",8
"231","OTU10_Filobasidium",123,"TP0913","B",8
"232","OTU10_Filobasidium",68,"TP1011","B",8
"233","OTU10_Filobasidium",18,"TP0913","C",8
"234","OTU10_Filobasidium",223,"TP1011","C",8
"235","Other",4,"TP0913","P",0
"236","Other",3,"TP1011","P",0
"237","Other",6,"TP0913","A",1
"238","Other",2,"TP1011","A",1
"239","Other",1,"TP0913","B",1
"240","Other",35,"TP1011","B",1
"241","Other",10,"TP0913","C",1
"242","Other",4,"TP1011","C",1
"243","Other",0,"TP0913","A",2
"244","Other",2,"TP1011","A",2
"245","Other",14,"TP0913","B",2
"246","Other",17,"TP1011","B",2
"247","Other",5,"TP0913","C",2
"248","Other",8,"TP1011","C",2
"249","Other",5,"TP0913","A",4
"250","Other",14,"TP1011","A",4
"251","Other",6,"TP0913","B",4
"252","Other",9,"TP1011","B",4
"253","Other",18,"TP0913","C",4
"254","Other",16,"TP1011","C",4
"255","Other",22,"TP0913","A",8
"256","Other",3,"TP1011","A",8
"257","Other",30,"TP0913","B",8
"258","Other",10,"TP1011","B",8
"259","Other",6,"TP0913","C",8
"260","Other",11,"TP1011","C",8
"261","Other",151,"TP0913","P",0
"262","Other",221,"TP1011","P",0
"263","Other",154,"TP0913","A",1
"264","Other",65,"TP1011","A",1
"265","Other",116,"TP0913","B",1
"266","Other",493,"TP1011","B",1
"267","Other",124,"TP0913","C",1
"268","Other",68,"TP1011","C",1
"269","Other",68,"TP0913","A",2
"270","Other",58,"TP1011","A",2
"271","Other",221,"TP0913","B",2
"272","Other",233,"TP1011","B",2
"273","Other",61,"TP0913","C",2
"274","Other",132,"TP1011","C",2
"275","Other",201,"TP0913","A",4
"276","Other",357,"TP1011","A",4
"277","Other",123,"TP0913","B",4
"278","Other",101,"TP1011","B",4
"279","Other",68,"TP0913","C",4
"280","Other",151,"TP1011","C",4
"281","Other",367,"TP0913","A",8
"282","Other",58,"TP1011","A",8
