"","TP","J","Treatment1","Habitat"
"276",7,0.881351762395766,"Pre_flowering_drought","Soil"
"277",7,0.784500053533708,"Control","Rhizosphere"
"278",7,0.771823303176138,"Control","Rhizosphere"
"279",7,0.799557739291681,"Control","Rhizosphere"
"280",7,0.588505033472578,"Pre_flowering_drought","Rhizosphere"
"281",7,0.513545079640136,"Pre_flowering_drought","Rhizosphere"
"282",7,0.442754333436648,"Pre_flowering_drought","Rhizosphere"
"283",7,0.582552833962943,"Pre_flowering_drought","Rhizosphere"
"284",7,0.835131757461195,"Control","Rhizosphere"
"285",7,0.833782245303351,"Control","Rhizosphere"
"286",7,0.75695173620522,"Control","Rhizosphere"
"287",7,0.38180937724673,"Pre_flowering_drought","Rhizosphere"
"288",7,0.50198096171691,"Pre_flowering_drought","Rhizosphere"
"289",8,0.541060469536847,"Control","Leaf"
"290",8,0.636374066132985,"Control","Leaf"
"291",8,0.61217000199957,"Post_flowering_drought","Leaf"
"292",8,0.671738287499984,"Post_flowering_drought","Leaf"
"293",8,0.637445175037174,"Pre_flowering_drought","Leaf"
"294",8,0.635310435605927,"Pre_flowering_drought","Leaf"
"295",8,0.664169791439967,"Control","Leaf"
"296",8,0.548865028547755,"Control","Leaf"
"297",8,0.733452909943515,"Pre_flowering_drought","Leaf"
"298",8,0.596283337482075,"Pre_flowering_drought","Leaf"
"299",8,0.629486857432995,"Post_flowering_drought","Leaf"
"300",8,0.392533800516866,"Post_flowering_drought","Leaf"
"301",8,0.658314695280755,"Pre_flowering_drought","Leaf"
"302",8,0.616990568759055,"Pre_flowering_drought","Leaf"
"303",8,0.585730378761326,"Control","Leaf"
"304",8,0.653318793733827,"Control","Leaf"
"305",8,0.702105010626795,"Post_flowering_drought","Leaf"
"306",8,0.54820071206246,"Post_flowering_drought","Leaf"
"307",8,0.732660612797373,"Control","Root"
"308",8,0.633089483388317,"Control","Root"
"309",8,0.682712629787666,"Control","Root"
"310",8,0.574343876150911,"Pre_flowering_drought","Root"
"311",8,0.482478593983559,"Post_flowering_drought","Root"
"312",8,0.660799509600326,"Post_flowering_drought","Root"
"313",8,0.542894543400632,"Pre_flowering_drought","Root"
"314",8,0.445235250894294,"Pre_flowering_drought","Root"
"315",8,0.546683337747274,"Control","Root"
"316",8,0.667969841299683,"Control","Root"
"317",8,0.689108397620629,"Control","Root"
"318",8,0.555467044962561,"Post_flowering_drought","Root"
"319",8,0.623897562476341,"Post_flowering_drought","Root"
"320",8,0.629787147060873,"Post_flowering_drought","Root"
"321",8,0.591404868864902,"Post_flowering_drought","Root"
"322",8,0.527494693358304,"Pre_flowering_drought","Root"
"323",8,0.561243599429174,"Pre_flowering_drought","Root"
"324",8,0.507166939358747,"Pre_flowering_drought","Root"
"325",8,0.851271497242814,"Control","Soil"
"326",8,0.843986808913708,"Control","Soil"
"327",8,0.869383599078403,"Control","Soil"
"328",8,0.896902945277951,"Pre_flowering_drought","Soil"
"329",8,0.858573833761487,"Pre_flowering_drought","Soil"
"330",8,0.879334467421385,"Post_flowering_drought","Soil"
"331",8,0.870090401502141,"Post_flowering_drought","Soil"
"332",8,0.861617455607913,"Pre_flowering_drought","Soil"
"333",8,0.888768109854361,"Pre_flowering_drought","Soil"
"334",8,0.849087339527314,"Control","Soil"
"335",8,0.866072025538032,"Control","Soil"
"336",8,0.863128956868372,"Control","Soil"
"337",8,0.87523543443374,"Post_flowering_drought","Soil"
"338",8,0.6159036478718,"Post_flowering_drought","Soil"
"339",8,0.892103285769109,"Post_flowering_drought","Soil"
"340",8,0.873992020435417,"Post_flowering_drought","Soil"
"341",8,0.897986947519115,"Pre_flowering_drought","Soil"
"342",8,0.859015089741187,"Pre_flowering_drought","Soil"
"343",8,0.852278729192848,"Control","Rhizosphere"
"344",8,0.764083153713448,"Control","Rhizosphere"
"345",8,0.761297782640143,"Control","Rhizosphere"
"346",8,0.453137151344672,"Pre_flowering_drought","Rhizosphere"
"347",8,0.433300450753591,"Pre_flowering_drought","Rhizosphere"
"348",8,0.727893357627454,"Post_flowering_drought","Rhizosphere"
"349",8,0.84580077676011,"Post_flowering_drought","Rhizosphere"
"350",8,0.39325606116849,"Pre_flowering_drought","Rhizosphere"
"351",8,0.59712165854938,"Pre_flowering_drought","Rhizosphere"
"352",8,0.830891023313601,"Control","Rhizosphere"
"353",8,0.752555930041304,"Control","Rhizosphere"
"354",8,0.804614978042777,"Control","Rhizosphere"
"355",8,0.830940527608739,"Post_flowering_drought","Rhizosphere"
"356",8,0.824948949820553,"Post_flowering_drought","Rhizosphere"
"357",8,0.794970585063964,"Post_flowering_drought","Rhizosphere"
"358",8,0.594774928575602,"Post_flowering_drought","Rhizosphere"
"359",8,0.427729876798632,"Pre_flowering_drought","Rhizosphere"
"360",8,0.530578748378406,"Pre_flowering_drought","Rhizosphere"
"361",9,0.575871204552388,"Control","Leaf"
"362",9,0.635581395089314,"Control","Leaf"
"363",9,0.645342942788041,"Post_flowering_drought","Leaf"
"364",9,0.646378968482802,"Post_flowering_drought","Leaf"
"365",9,0.629292296729417,"Pre_flowering_drought","Leaf"
"366",9,0.713224947251978,"Pre_flowering_drought","Leaf"
"367",9,0.657141445558915,"Control","Leaf"
"368",9,0.62131011940423,"Control","Leaf"
"369",9,0.498537901956695,"Pre_flowering_drought","Leaf"
"370",9,0.571410749029312,"Pre_flowering_drought","Leaf"
"371",9,0.692614693266809,"Post_flowering_drought","Leaf"
"372",9,0.603416953356112,"Post_flowering_drought","Leaf"
"373",9,0.662648625014912,"Pre_flowering_drought","Leaf"
"374",9,0.521474151780627,"Pre_flowering_drought","Leaf"
"375",9,0.68670432919215,"Control","Leaf"
"376",9,0.657118319394526,"Control","Leaf"
"377",9,0.686410916775171,"Post_flowering_drought","Leaf"
"378",9,0.639866823773368,"Post_flowering_drought","Leaf"
"379",9,0.763562757000961,"Control","Root"
"380",9,0.572917176289292,"Control","Root"
"381",9,0.650233401063653,"Control","Root"
"382",9,0.728628181951626,"Pre_flowering_drought","Root"
"383",9,0.431559548266967,"Pre_flowering_drought","Root"
"384",9,0.650940655629688,"Post_flowering_drought","Root"
"385",9,0.760209377293572,"Post_flowering_drought","Root"
"386",9,0.577604313036201,"Pre_flowering_drought","Root"
"387",9,0.660164845872083,"Pre_flowering_drought","Root"
"388",9,0.627699167569123,"Control","Root"
"389",9,0.551908676446827,"Control","Root"
"390",9,0.711832174359625,"Control","Root"
"391",9,0.571930505654467,"Post_flowering_drought","Root"
"392",9,0.670323085113268,"Post_flowering_drought","Root"
"393",9,0.652442753071801,"Post_flowering_drought","Root"
"394",9,0.636204627141258,"Post_flowering_drought","Root"
"395",9,0.711145870838904,"Pre_flowering_drought","Root"
"396",9,0.737434690753199,"Pre_flowering_drought","Root"
"397",9,0.929346803253901,"Control","Soil"
"398",9,0.829457566058217,"Control","Soil"
"399",9,0.91091230855854,"Control","Soil"
"400",9,0.909100038462183,"Pre_flowering_drought","Soil"
"401",9,0.861628891992163,"Pre_flowering_drought","Soil"
"402",9,0.80811550070109,"Post_flowering_drought","Soil"
"403",9,0.782489911727045,"Post_flowering_drought","Soil"
"404",9,0.832573509733301,"Pre_flowering_drought","Soil"
"405",9,0.884072876451789,"Pre_flowering_drought","Soil"
"406",9,0.691828493310377,"Control","Soil"
"407",9,0.899567716295543,"Control","Soil"
