"","transcrib.pct","qPCR","Habitat"
"101",0.00878689372906486,5.923144467,"Root"
"102",0.0105181451638474,5.814204416,"Root"
"103",0.0143639331495966,5.950368716,"Root"
"104",0.00693083999304963,5.858408174,"Root"
"105",0.00978987807677625,5.899986136,"Root"
"106",0.0814370528393158,6.418303651,"Root"
"107",0.202983079395318,6.641016716,"Root"
"108",0.0111835037738745,6.110906552,"Root"
"109",0.00634487796896938,5.672228236,"Root"
"110",0.0103311953752123,5.6997924,"Root"
"111",0.0114039371067427,5.99436281,"Root"
"112",0.017841655811995,5.888258645,"Root"
"113",0.0272533220368649,5.809612033,"Root"
"114",0.0951719012184712,6.327703726,"Root"
"115",0.0284985547538389,6.421983407,"Root"
"116",0.0171022275435128,6.027803279,"Root"
"117",0.00678752027720316,5.626208734,"Root"
"118",0.00623149051236164,5.69479133,"Root"
"119",0.0265544798826047,6.185312024,"Leaf"
"120",0.0230838597901952,6.224912393,"Leaf"
"121",0.0125436459267395,6.056681593,"Leaf"
"122",0.0311051979397474,5.296181117,"Leaf"
"123",0.00640474248744684,5.615480908,"Leaf"
"124",0.0048627238102244,3.516231993,"Leaf"
"125",0.0101663142861854,5.915481229,"Root"
"126",0.0114917045787478,5.92447624,"Root"
"127",0.0128982670997543,6.028034,"Root"
"128",0.0786338206626444,6.915653647,"Root"
"129",0.00415779373883089,5.766409079,"Root"
"130",0.00902609813976082,5.951190604,"Root"
"131",0.051016238250637,4.036059391,"Leaf"
"132",0.0236885928921031,5.766193753,"Leaf"
"133",0.0109696656845673,5.659101544,"Leaf"
"134",0.0406211197455251,4.478942523,"Leaf"
"136",0.00678041770721431,6.341022863,"Leaf"
"137",0.0171123740720683,6.014535774,"Leaf"
"138",0.773007951073439,6.470013302,"Leaf"
"139",0.0442231373827283,6.08428865,"Leaf"
"140",0.0269496871698415,5.862472368,"Leaf"
"141",0.0415297413776703,6.22293436,"Leaf"
"142",0.0520793407800397,6.37646146,"Leaf"
"143",0.0169343024959192,6.026911072,"Leaf"
"144",0.0108458780361901,5.998004687,"Leaf"
"145",0.0203245113495263,5.408815856,"Leaf"
"146",0.0192624234729792,5.474169774,"Root"
"147",0.019118342767491,5.374603,"Root"
"148",0.012233415816155,5.699352271,"Root"
"149",0.0533768281190746,5.983195931,"Root"
"150",0.0187003057910043,6.098689774,"Root"
"151",0.282467179150913,6.988680442,"Root"
"152",0.188476080193088,6.572646176,"Root"
"153",0.00885842675538115,5.820793687,"Root"
"154",0.00944895471731137,5.639681292,"Root"
"155",0.032254292298658,5.722070685,"Root"
"156",0.00746784501684958,5.758369405,"Root"
"157",0.21692719992593,6.976675643,"Root"
"158",0.111803076173795,6.462368713,"Root"
"159",0.0232066327857167,5.996661863,"Root"
"160",0.0108605905025956,5.89444906,"Root"
"161",0.0585761630141278,6.301303377,"Leaf"
"162",0.0279917356524915,5.610072598,"Leaf"
"163",0.0393289593339819,5.173889936,"Leaf"
"164",0.0112410853234269,5.3405023,"Leaf"
"165",0.0315326204551479,6.263692725,"Leaf"
"166",0.0423868693773963,6.328545481,"Leaf"
"167",0.0452395658807758,6.005295111,"Leaf"
"168",0.0221118223545781,5.946905915,"Leaf"
"169",0.0169221266616526,6.24903535,"Leaf"
"170",0.0796900742852722,5.825876342,"Leaf"
"171",0.0483126957170235,6.510570702,"Leaf"
"172",0.0193773329088702,6.281700124,"Leaf"
"173",0.0319351839755875,6.210009162,"Leaf"
"174",0.0288585028543453,6.514773705,"Leaf"
"175",0.0350937983149153,6.27026827,"Leaf"
"176",0.0394146975002759,6.825348714,"Leaf"
"177",0.0210961548461723,5.774833845,"Leaf"
"178",0.0565866824276077,6.144273284,"Leaf"
"179",0.0334026256679269,6.528191005,"Leaf"
"180",0.0126461258651501,6.425236301,"Leaf"
"181",0.0107035729731992,5.35753226,"Leaf"
"182",0.00607498030939302,5.998432556,"Root"
"183",0.00945935490908076,5.33116325,"Root"
"184",0.00710231632563761,5.255836854,"Root"
"185",0.00714290243985962,5.762646741,"Root"
"186",0.00968410051658514,5.30715835,"Root"
"187",0.0388817510878981,7.256060293,"Root"
"188",0.0316165829789447,7.135110356,"Root"
"189",0.00618709944993132,6.251499589,"Root"
"190",0.00709901870385708,5.670783025,"Root"
"191",0.00930487401182324,5.499781354,"Root"
"192",0.00684713113246673,5.952653583,"Root"
"193",0.0338843321110994,6.111024316,"Root"
"194",0.0688837677104485,6.274912629,"Root"
"195",0.0236464847985977,6.435067878,"Root"
"196",0.00564654314113694,6.082913615,"Root"
"197",0.00894974551238067,5.805118662,"Root"
"198",0.00726897305716174,5.307964719,"Root"
"199",0.00100755028556136,2.330911393,"Leaf"
"200",0.00126527211087112,3.122688361,"Leaf"
"201",0.00111434249860802,2.978445808,"Leaf"
"203",0.000994613461653098,2.528132733,"Leaf"
"204",0.000874630761484285,3.125049702,"Leaf"
"205",0.00179213060611557,4.012660119,"Root"
"206",0.00168254809771614,4.098675289,"Root"
"207",0.00156053609183623,4.058564117,"Root"
