sorghum	Guild	Genus
10277	Saprotroph	Spiromastix
5872	Saprotroph	Aspergillus
2789	Plant pathogen	Paraphysoderma
3606	Arbuscular mycorrhizal	Glomus
4376	Saprotroph	Chrysosporium
2998	Saprotroph	Polytolypa
1766	Saprotroph	Cyathus
6376	Unidentified & others	Poaceascoma
3433	Arbuscular mycorrhizal	_
235785	Saprotroph	Stachybotrys
6420	Endophyte	Periconia
9596	Plant pathogen	Sparassis
9160	Saprotroph	Cristinia
5038	Saprotroph	Boubovia
4125	Yeast	_
6069	Saprotroph	Chrysosporium
4498	Unidentified & others	Myceliophthora
2456	Unidentified & others	Vermispora
4922	Yeast	Naganishia
2806	Endophyte	Podospora
307467	Yeast	Cryptococcus
2382	Unidentified & others	_
6289	Plant pathogen	Monographella
1673	Saprotroph	Thielavia
3593	Plant pathogen	Bipolaris
2977	Saprotroph	Pseudopithomyces
2051	Unidentified & others	_
10789	Saprotroph	Chrysosporium
1794	Unidentified & others	_
3190	Plant pathogen	Spizellomyces
2275	Saprotroph	Rhizopus
109445	Plant pathogen	Phoma
3639	Plant pathogen	Alternaria
5237	Arbuscular mycorrhizal	_
5365	Saprotroph	Parasympodiella
15090	Arbuscular mycorrhizal	Funneliformis
2201	Yeast	Papiliotrema
3178	Unidentified & others	Vermispora
1537	Yeast	Sporobolomyces
3598	Yeast	Sporisorium
2060	Unidentified & others	_
3195	Plant pathogen	Spizellomyces
314016	Yeast	Sporobolomyces
3350	Unidentified & others	_
7460	Saprotroph	Cladorrhinum
2936	Saprotroph	Mortierella
6469	Unidentified & others	Beauveria
1734	Saprotroph	Rhizophlyctis
9208	Saprotroph	Humicola
7158	Saprotroph	Chaetomium
9154	Saprotroph	Cystoagaricus
164161	Plant pathogen	Alternaria
2056	Unidentified & others	_
162	Saprotroph	Rhizophlyctis
2953	Unidentified & others	_
2265	Saprotroph	Zopfiella
956	Saprotroph	Iodophanus
1235	Saprotroph	Ascobolus
19589	Saprotroph	Peziza
1858	Arbuscular mycorrhizal	Glomus
19045	Yeast	Filobasidium
3655	Plant pathogen	Spizellomyces
462222	Saprotroph	Chaetomium
1086	Yeast	Rhodotorula
619	Saprotroph	Scedosporium
