Ss0	Guild	Genus
282	Plant pathogen	Paraphysoderma
199	Saprotroph	_
319	Saprotroph	Conocybe
76	Yeast	Aureobasidium
448	Unidentified & others	_
2	Saprotroph	Catenaria
4	Saprotroph	Coprinopsis
0	Arbuscular mycorrhizal	_
4	Saprotroph	Nigrospora
5	Saprotroph	Penicillium
0	Unidentified & others	Pulvinula
128	Plant pathogen	Spizellomyces
374	Saprotroph	Achroiostachys
139	Saprotroph	Meliniomyces
153	Saprotroph	Mucor
235	Unidentified & others	_
99	Saprotroph	Kabatiella
413	Endophyte	Podospora
566	Saprotroph	Monocillium
1	Arbuscular mycorrhizal	_
56	Yeast	Exophiala
118	Endophyte	Acremonium
8908	Saprotroph	Striaticonidium
1612	Endophyte	Thermomyces
0	Plant pathogen	Ramularia
0	Plant pathogen	_
66	Plant pathogen	Monosporascus
7	Yeast	_
1	Arbuscular mycorrhizal	_
52	Saprotroph	Pleuroflammula
58	Saprotroph	Cephalotheca
0	Saprotroph	Cristinia
0	Saprotroph	Oliveonia
13208	Saprotroph	Pseudaleuria
20	Unidentified & others	_
0	Unidentified & others	Pulvinula
136	Unidentified & others	_
2	Saprotroph	Clavaria
0	Saprotroph	Arthrobotrys
0	Unidentified & others	_
0	Yeast	Cryptococcus
1	Saprotroph	Corynespora
0	Arbuscular mycorrhizal	_
0	Saprotroph	Entoloma
14748	Saprotroph	Zopfiella
246	Saprotroph	Plenodomus
144	Plant pathogen	Phyllachora
16	Saprotroph	Coprinopsis
0	Saprotroph	Comoclathris
419	Saprotroph	Preussia
1	Saprotroph	Serendipita
136	Unidentified & others	_
603	Saprotroph	Coprinellus
73	Saprotroph	Scutellinia
1478	Saprotroph	Arthroxylaria
181	Plant pathogen	Thanatephorus
149	Saprotroph	Scolecobasidium
176	Saprotroph	Scytalidium
310	Saprotroph	Scolecobasidium
490	Plant pathogen	Clonostachys
301	Saprotroph	Chaetomium
97	Saprotroph	Disciseda
204	Yeast	Ustilago
7095	Saprotroph	Zopfiella
364	Unidentified & others	_
304	Saprotroph	Talaromyces
0	Yeast	Anthracocystis
0	Yeast	Rhodotorula
130	Saprotroph	Paraconiothyrium
189	Saprotroph	Stachybotrys
139	Plant pathogen	Ascochyta
5	Saprotroph	Humicola
5270	Plant pathogen	Alternaria
6167	Endophyte	Acremonium
0	Arbuscular mycorrhizal	_
0	Saprotroph	Exidia
13493	Saprotroph	Schizothecium
396	Saprotroph	Chaetomium
795	Saprotroph	Aspergillus
0	Unidentified & others	_
114	Saprotroph	Rhizophlyctis
211	Unidentified & others	_
0	Arbuscular mycorrhizal	_
0	Yeast	Kodamaea
17869	Plant pathogen	Fusarium
0	Yeast	Hannaella
61	Yeast	Exophiala
0	Saprotroph	Coniophora
0	Saprotroph	Entoloma
214	Saprotroph	Arachnomyces
0	Saprotroph	Cuphophyllus
0	Saprotroph	Entoloma
5	Unidentified & others	_
0	Saprotroph	Pyronema
5419	Saprotroph	Actinomucor
75	Unidentified & others	Septoriella
124	Saprotroph	Penicillium
721	Saprotroph	Mortierella
90	Saprotroph	Panaeolus
298	Unidentified & others	_
177	Saprotroph	Monoblepharis
522	Saprotroph	Trichoderma
316	Saprotroph	Chaetomium
78	Plant pathogen	Spizellomyces
263	Yeast	Cryptococcus
5	Yeast	Cystobasidium
0	Yeast	Microstroma
180	Plant pathogen	Chytridium
126	Plant pathogen	Spizellomyces
0	Yeast	Auriculibuller
1	Arbuscular mycorrhizal	_
191	Saprotroph	Gymnoascoideus
7	Plant pathogen	Stagonosporopsis
0	Saprotroph	Arthrobotrys
0	Yeast	Meyerozyma
9378	Plant pathogen	Curvularia
0	Yeast	Saitozyma
578	Plant pathogen	Clonostachys
0	Saprotroph	Cristinia
24	Saprotroph	Chaetomium
0	Saprotroph	Mortierella
8	Saprotroph	Sphaerobolus
70	Plant pathogen	Betamyces
0	Plant pathogen	Podosphaera
8	Saprotroph	Conocybe
3058	Plant pathogen	Waitea
26	Plant pathogen	Rhexocercosporidium
1	Saprotroph	Mucor
4	Saprotroph	Microascus
71	Yeast	Hormonema
0	Yeast	Dirkmeia
30	Plant pathogen	Sigarispora
48	Saprotroph	_
545	Saprotroph	Aspergillus
683	Saprotroph	_
13524	Endophyte	Thermomyces
52	Unidentified & others	Paraphoma
117	Unidentified & others	_
186	Unidentified & others	Otidea
93	Saprotroph	Sporormiella
859	Endophyte	Podospora
60	Plant pathogen	Alternaria
490	Plant pathogen	Alternaria
203	Saprotroph	Coniochaeta
70	Plant pathogen	Coniella
143	Saprotroph	Chaetomium
117	Saprotroph	Scytalidium
65	Unidentified & others	_
0	Yeast	Filobasidium
27	Saprotroph	Oedocephalum
7	Plant pathogen	Stemphylium
0	Arbuscular mycorrhizal	_
0	Saprotroph	Auricularia
2	Saprotroph	Parasola
0	Saprotroph	_
7424	Saprotroph	Geomyces
12	Plant pathogen	Exserohilum
55	Saprotroph	Penicillium
0	Plant pathogen	_
0	Plant pathogen	Laetisaria
84	Saprotroph	Thielavia
3	Saprotroph	Parasympodiella
0	Saprotroph	Uncinocarpus
21	Unidentified & others	_
0	Saprotroph	Rhizophlyctis
2019	Plant pathogen	Macrophomina
0	Arbuscular mycorrhizal	Claroideoglomus
68	Unidentified & others	_
0	Plant pathogen	Thanatephorus
0	Plant pathogen	Phoma
0	Yeast	Cryptococcus
5	Saprotroph	Setophaeosphaeria
0	Arbuscular mycorrhizal	Glomus
0	Unidentified & others	Hydnellum
11909	Endophyte	Acremonium
19	Yeast	_
58	Saprotroph	Cistella
30	Saprotroph	Chaetomium
25	Plant pathogen	Bipolaris
23	Plant pathogen	Powellomyces
65	Endophyte	Acremonium
0	Saprotroph	Cladorrhinum
21	Saprotroph	Endoconidioma
113	Saprotroph	Preussia
27	Arbuscular mycorrhizal	Rhizophagus
0	Yeast	Candida
43	Plant pathogen	Diplodia
0	Yeast	Anthracocystis
101	Saprotroph	Preussia
53	Unidentified & others	Paracamarosporium
139	Unidentified & others	_
100	Saprotroph	Penicillium
99	Plant pathogen	Spizellomyces
28	Unidentified & others	_
9682	Saprotroph	Mortierella
23	Unidentified & others	Lyophyllum
17	Saprotroph	Cystoagaricus
159	Saprotroph	Rhizophlyctis
174	Plant pathogen	Gibellulopsis
22	Plant pathogen	Triparticalcar
80	Saprotroph	Conocybe
39	Saprotroph	Astrosphaeriella
91	Plant pathogen	Cylindrocarpon
0	Plant pathogen	Ascochyta
225	Plant pathogen	Stemphylium
23	Plant pathogen	Cochliobolus
0	Plant pathogen	Erysiphe
0	Saprotroph	Conocybe
0	Saprotroph	Conocybe
0	Arbuscular mycorrhizal	_
22	Unidentified & others	Terfezia
14	Arbuscular mycorrhizal	Claroideoglomus
0	Plant pathogen	Bipolaris
9	Saprotroph	Psathyrella
2	Yeast	Sporobolomyces
4528	Saprotroph	Trichocladium
0	Yeast	Microstroma
6	Saprotroph	Conocybe
0	Saprotroph	_
0	Yeast	Rhodosporidiobolus
0	Unidentified & others	_
10	Saprotroph	Mortierella
141	Unidentified & others	_
146	Saprotroph	Panaeolus
10	Saprotroph	Smardaea
0	Arbuscular mycorrhizal	_
0	Arbuscular mycorrhizal	_
52	Saprotroph	Agaricus
68	Endophyte	Lecythophora
0	Saprotroph	_
5	Saprotroph	Cunninghamella
0	Arbuscular mycorrhizal	Funneliformis
8	Plant pathogen	Truncatella
3	Saprotroph	Oliveonia
126	Endophyte	Acremonium
22	Unidentified & others	_
139	Saprotroph	Arthrographis
32	Plant pathogen	Ganoderma
0	Arbuscular mycorrhizal	Glomus
0	Arbuscular mycorrhizal	_
0	Saprotroph	Geosmithia
6	Plant pathogen	Tranzschelia
0	Arbuscular mycorrhizal	_
18	Saprotroph	Zopfiella
5025	Saprotroph	Ascobolus
0	Unidentified & others	_
1	Saprotroph	Neosetophoma
4	Yeast	Cystobasidium
1	Yeast	Cystobasidium
0	Arbuscular mycorrhizal	Glomus
0	Unidentified & others	Terfezia
3	Plant pathogen	Alternaria
97	Saprotroph	Trichoderma
0	Arbuscular mycorrhizal	Glomus
4793	Endophyte	Camarosporium
4	Plant pathogen	Spizellomyces
0	Saprotroph	Alogomyces
12	Saprotroph	Pluteus
1	Unidentified & others	Pisolithus
70	Saprotroph	Catenaria
1	Saprotroph	Ramicandelaber
23	Saprotroph	Coprinus
0	Plant pathogen	Erysiphe
102	Yeast	Occultifur
22761	Saprotroph	Chaetomium
28	Saprotroph	Coniolariella
36	Unidentified & others	_
7	Saprotroph	Pluteus
11	Saprotroph	Tulostoma
0	Yeast	Phaeococcomyces
13	Saprotroph	Spirosphaera
1	Arbuscular mycorrhizal	_
0	Saprotroph	Ascobolus
3	Plant pathogen	Botryosphaeria
115378	Plant pathogen	Fusarium
10920	Saprotroph	_
2	Yeast	Occultifur
0	Yeast	Hannaella
0	Yeast	Buckleyzyma
0	Saprotroph	Neosetophoma
0	Plant pathogen	Phoma
0	Saprotroph	Phaeosphaeriopsis
0	Plant pathogen	Eutypella
8	Plant pathogen	Pyrenophora
0	Yeast	Ustilago
5	Yeast	Papiliotrema
0	Saprotroph	Pringsheimia
7	Endophyte	Acremonium
116	Plant pathogen	Fusarium
0	Yeast	_
41	Saprotroph	Spirosphaera
323	Saprotroph	Sphaerodes
186	Plant pathogen	Powellomyces
83	Plant pathogen	Puccinia
106	Saprotroph	Rhizophlyctis
38	Saprotroph	Comoclathris
8454	Saprotroph	Mortierella
71	Saprotroph	Entoloma
49	Unidentified & others	_
22	Saprotroph	Catenaria
1351	Plant pathogen	Neonectria
149	Unidentified & others	_
131	Saprotroph	Preussia
56	Unidentified & others	_
28	Plant pathogen	Ilyonectria
2238	Plant pathogen	Microdochium
50	Plant pathogen	Betamyces
39	Unidentified & others	Pulvinula
101	Plant pathogen	Monographella
27	Saprotroph	Rhizophlyctis
8	Unidentified & others	Tricholoma
20	Saprotroph	Cercophora
17	Saprotroph	Chrysosporium
59	Unidentified & others	Wettsteinina
5779	Saprotroph	Leucothecium
57	Unidentified & others	Chordomyces
41	Unidentified & others	_
47	Saprotroph	Volvariella
27	Unidentified & others	_
4	Plant pathogen	Alternaria
0	Yeast	Cryptococcus
0	Saprotroph	Cladosporium
0	Unidentified & others	Phaeotheca
6	Yeast	Bullera
39644	Saprotroph	Corynascus
0	Plant pathogen	Knufia
0	Saprotroph	Leucoagaricus
1	Saprotroph	Ascobolus
0	Plant pathogen	Sarocladium
0	Yeast	Erythrobasidium
0	Saprotroph	Mortierella
74	Saprotroph	Thielavia
3	Yeast	_
0	Arbuscular mycorrhizal	_
900	Saprotroph	Talaromyces
0	Arbuscular mycorrhizal	_
5	Saprotroph	Mortierella
12	Saprotroph	Coprinopsis
9	Unidentified & others	Harpochytrium
8	Saprotroph	Coprinellus
0	Saprotroph	Laburnicola
0	Unidentified & others	_
0	Saprotroph	Geosmithia
0	Yeast	Udeniomyces
0	Plant pathogen	Mycocentrospora
4	Saprotroph	Entoloma
31	Plant pathogen	Fusarium
16	Saprotroph	Mortierella
6	Saprotroph	Mortierella
0	Saprotroph	Serendipita
1	Saprotroph	Scutellinia
22	Saprotroph	Mortierella
11	Saprotroph	Oliveonia
86	Saprotroph	Aspergillus
7204	Yeast	_
1	Endophyte	Acremonium
0	Saprotroph	Mortierella
0	Arbuscular mycorrhizal	_
0	Arbuscular mycorrhizal	_
0	Saprotroph	_
0	Saprotroph	Gilbertella
0	Unidentified & others	Lecanicillium
0	Yeast	Dioszegia
14	Yeast	Naganishia
21	Saprotroph	Rhizophlyctis
7	Saprotroph	_
0	Saprotroph	Chalara
0	Saprotroph	Phaeosphaeria
0	Saprotroph	Leptospora
0	Yeast	Ustilago
32	Unidentified & others	Sarcinomyces
80	Unidentified & others	Hydnocystis
57263	Plant pathogen	Alternaria
63	Arbuscular mycorrhizal	Claroideoglomus
26	Unidentified & others	_
0	Saprotroph	Mortierella
81	Saprotroph	Helicoma
0	Saprotroph	Cristinia
0	Saprotroph	Mortierella
1	Saprotroph	Mortierella
2	Unidentified & others	Polyschema
1650	Yeast	_
35	Plant pathogen	Fusarium
0	Unidentified & others	_
4	Saprotroph	Cistella
103	Unidentified & others	Cosmospora
0	Arbuscular mycorrhizal	Glomus
366	Plant pathogen	Fusarium
5	Saprotroph	Wallemia
8	Plant pathogen	Phoma
93	Saprotroph	Conocybe
0	Unidentified & others	_
0	Plant pathogen	Thanatephorus
0	Saprotroph	Pholiota
6	Saprotroph	Mortierella
41	Endophyte	Acremonium
30	Saprotroph	Paraphaeosphaeria
50	Saprotroph	Pseudeurotium
9	Unidentified & others	Chaetosphaeronema
16423	Saprotroph	Trichocladium
0	Saprotroph	Rhizophlyctis
0	Endophyte	Alanphillipsia
0	Saprotroph	Trametes
0	Unidentified & others	_
0	Arbuscular mycorrhizal	_
0	Arbuscular mycorrhizal	Claroideoglomus
0	Saprotroph	Galerina
29	Saprotroph	Coniochaeta
5351	Saprotroph	Gymnoascus
1	Plant pathogen	Spizellomyces
0	Saprotroph	Entoloma
0	Saprotroph	Parastagonospora
0	Plant pathogen	Drechslera
4	Saprotroph	Preussia
64	Unidentified & others	Ajellomyces
0	Plant pathogen	_
2	Plant pathogen	Spizellomyces
13	Yeast	Phaeococcomyces
4557	Unidentified & others	Minimedusa
20	Saprotroph	Penicillium
1	Saprotroph	Hydnophlebia
0	Saprotroph	Volvariella
0	Saprotroph	Gliomastix
0	Saprotroph	Lindgomyces
29	Yeast	Cladophialophora
0	Plant pathogen	Eocronartium
0	Plant pathogen	Catenulostroma
13817	Saprotroph	Chaetomium
24	Saprotroph	Scytalidium
0	Yeast	Scheffersomyces
